country,city,agency,feed_url,mdb_id,license,status
AR,national,Cordoba~Ar,https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/movilidad/gtfs-de-la-ciudada-de-cordoba/3319,f-cordoba~ar,CC-BY-SA-4.0,active
AT,Austria (nationwide rail),"ÖBB-Personenverkehr AG (incl. Montafonerbahn, City Air Terminal)",https://static.web.oebb.at/open-data/soll-fahrplan-gtfs/GTFS_Fahrplan_2026.zip,at-eutail-obb-personenverkehr-ag-incl-mo,CC BY 4.0,active
AT,Bezirk Baden,"Wiener Lokalbahnen (WLB), Wiener Linien",http://www.wienerlinien.at/ogd_realtime/doku/ogd/gtfs/gtfs.zip,mdb-648,,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27240/file,at-gtfs-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27241/file,at-gtfs-flex-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27455/file,at-gtfs-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27456/file,at-gtfs-flex-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27591/file,at-gtfs-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Bregenz,Verkehrsverbund Vorarlberg (VMOBIL),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27592/file,at-gtfs-flex-vmobil-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27307/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27308/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27329/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27330/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27345/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27346/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27500/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27501/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27521/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27522/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27532/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27533/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27547/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27548/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27576/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27577/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27605/file,at-gtfs-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Graz,Verkehrsverbund Steiermark (Verbund Linie),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27606/file,at-gtfs-flex-verbundlinie-2026,Data License Mobilitätsverbünde Österreich,active
AT,Grossmugl,Idsjmk,https://kordis-jmk.cz/gtfs/gtfs.zip,f-u2e-idsjmk,CC-BY-4.0,active
AT,Innsbruck,Verkehrsverbund Tirol (VVT / IVB),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27303/file,at-gtfs-vvt-2026,Data License Mobilitätsverbünde Österreich,active
AT,Innsbruck,Verkehrsverbund Tirol (VVT / IVB),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27491/file,at-gtfs-vvt-2026,Data License Mobilitätsverbünde Österreich,active
AT,Innsbruck,Verkehrsverbund Tirol (VVT / IVB),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27543/file,at-gtfs-vvt-2026,Data License Mobilitätsverbünde Österreich,active
AT,Innsbruck,Verkehrsverbund Tirol (VVT / IVB),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27567/file,at-gtfs-vvt-2026,Data License Mobilitätsverbünde Österreich,active
AT,Innsbruck,Verkehrsverbund Tirol (VVT / IVB),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27596/file,at-gtfs-vvt-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27312/file,at-gtfs-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27313/file,at-gtfs-flex-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27434/file,at-gtfs-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27435/file,at-gtfs-flex-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27552/file,at-gtfs-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27553/file,at-gtfs-flex-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27581/file,at-gtfs-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27582/file,at-gtfs-flex-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27610/file,at-gtfs-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Klagenfurt,Verkehrsverbund Kärnten (Kärntner Linien),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27611/file,at-gtfs-flex-kaerntnerlinien-2026,Data License Mobilitätsverbünde Österreich,active
AT,Langenzersdorf,Wienerlinien~Wlb,https://www.wienerlinien.at/ogd_realtime/doku/ogd/gtfs/gtfs.zip,f-u2ed-wienerlinien~wlb,CC-BY-4.0,active
AT,Linz,Linz AG Linien,https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27269/file,at-gtfs-esg-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Linz AG Linien,https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27511/file,at-gtfs-esg-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Linz AG Linien,https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27586/file,at-gtfs-esg-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Oberösterreichischer Verkehrsverbund (OÖVV),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27259/file,at-gtfs-ooevv-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Oberösterreichischer Verkehrsverbund (OÖVV),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27260/file,at-gtfs-flex-ooevv-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Oberösterreichischer Verkehrsverbund (OÖVV),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27470/file,at-gtfs-ooevv-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,Oberösterreichischer Verkehrsverbund (OÖVV),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27471/file,at-gtfs-flex-ooevv-2026,Data License Mobilitätsverbünde Österreich,active
AT,Linz,TBO Offenburg,https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/tgo.zip,mdb-900,https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27317/file,at-gtfs-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27318/file,at-gtfs-flex-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27505/file,at-gtfs-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27506/file,at-gtfs-flex-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27557/file,at-gtfs-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Salzburger Verkehrsverbund (Salzburg Verkehr),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27558/file,at-gtfs-flex-salzburgverkehr-2026,Data License Mobilitätsverbünde Österreich,active
AT,Salzburg,Stadtwerke Heilbronn (SWHN),https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/hnv.zip,mdb-783,,active
AT,Vienna,OBB-Personenverkehr AG,https://static.oebb.at/open-data/soll-fahrplan-gtfs/GTFS_OP_2025_obb.zip,at-nap-obb-personenverkehr-ag,CC BY 4.0,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27249/file,at-gtfs-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27250/file,at-gtfs-flex-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27340/file,at-gtfs-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27341/file,at-gtfs-flex-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27495/file,at-gtfs-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27496/file,at-gtfs-flex-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27571/file,at-gtfs-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27572/file,at-gtfs-flex-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27600/file,at-gtfs-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Verkehrsverbund Ost-Region (VOR),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27601/file,at-gtfs-flex-vor-2026,Data License Mobilitätsverbünde Österreich,active
AT,Vienna,Wiener Linien,https://www.wienerlinien.at/ogd_realtime/monitor?rbl=4111,rtweb-at-wiener-linien,,active
AT,Villach,Optima Express,https://github.com/jonaes/gtfs/raw/refs/heads/main/output/optima_gtfs.zip,mdb-3123,,active
AT,Vorarlberg (Bregenz/Feldkirch/Dornbirn),Verkehrsverbund Vorarlberg (VMOBIL) — Landbus network + ÖBB-Postbus,https://mobilitaetsdaten.gv.at/sites/default/files/metadataset/sample_data/20260703-0010_gtfs_flex_vmobil_2026.zip,at-eutail-verkehrsverbund-vorarlberg-vmo,Datenlizenz Mobilitätsverbünde Österreich (free/open),active
AT,Wels,BBS Schapfl,https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/ding.zip,mdb-770,https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz,active
AT,national,Oebb~At,https://static.web.oebb.at/open-data/soll-fahrplan-gtfs/GTFS_OP_2025_obb.zip,f-oebb~at,CC-BY-4.0,active
AT,national,U3W4~Morag,https://files.girlc.at/gtfs/morag.zip,f-u3w4~morag,CC0-1.0,active
AT,national,U3W~Orneta,https://files.girlc.at/gtfs/orneta.zip,f-u3w~orneta,CC0-1.0,active
AT,national,U3W~Piecki,https://files.girlc.at/gtfs/piecki.zip,f-u3w~piecki,CC0-1.0,active
AT,national,U3W~Powiat~Olsztynski,https://files.girlc.at/gtfs/powiat_olsztynski.zip,f-u3w~powiat~olsztynski,CC0-1.0,active
AT,national,ÖBB-Personenverkehr / EVU (nationwide rail),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27321/file,at-gtfs-evu-2026,Data License Mobilitätsverbünde Österreich,active
AT,national,ÖBB-Personenverkehr / EVU (nationwide rail),https://data.mobilitaetsverbuende.at/api/public/v1/data-sets/versions/27509/file,at-gtfs-evu-2026,Data License Mobilitätsverbünde Österreich,active
AU,Alexandra,Transport Victoria,https://opendata.transport.vic.gov.au/dataset/3f4e292e-7f8a-4ffe-831f-1953be0fe448/resource/fb152201-859f-4882-9206-b768060b50ad/download/gtfs.zip#2/google_transit.zip,f-r1r-ptv,CC-BY-4.0,active
AU,Alexandra,Transport Victoria,https://opendata.transport.vic.gov.au/dataset/3f4e292e-7f8a-4ffe-831f-1953be0fe448/resource/fb152201-859f-4882-9206-b768060b50ad/download/gtfs.zip#4/google_transit.zip,f-r1r-ptv~4,CC-BY-4.0,active
AU,Australian Capital Territory,Canberra Metro Operations,https://www.transport.act.gov.au/googletransit/google_transit_lr.zip,mdb-935,https://creativecommons.org/licenses/by/4.0/legalcode,active
AU,Bowen,qconnect bowen rt,https://gtfsrt.api.translink.com.au/api/realtime/BOW/Alerts,rt-al-f-rk3qj-qconnect~bowen~rt,,active
AU,Bowen,qconnect bowen rt,https://gtfsrt.api.translink.com.au/api/realtime/BOW/TripUpdates,rt-tr-f-rk3qj-qconnect~bowen~rt,,active
AU,Bowen,qconnect bowen rt,https://gtfsrt.api.translink.com.au/api/realtime/BOW/VehiclePositions,rt-ve-f-rk3qj-qconnect~bowen~rt,,active
AU,Bundaberg Region,Duffy's Buses and Stewarts & Sons Coaches,https://gtfsrt.api.translink.com.au/GTFS/BUN_GTFS.zip,mdb-672,https://www.data.qld.gov.au/dataset/general-transit-feed-specification-gtfs-qconnect/resource/699184c3-8c0e-44db-8a83-7e23709aefbe,active
AU,Cairns Regional,TransLink Sunbus Cairns,https://gtfsrt.api.translink.com.au/GTFS/CNS_GTFS.zip,mdb-674,https://www.data.qld.gov.au/dataset/general-transit-feed-specification-gtfs-qconnect/resource/9850f8e5-f572-4de7-97c5-84d45526f9bd,active
AU,Canberra,Transport Canberra,https://transport.api.act.gov.au/gtfs/data/gtfs/v2/gtfs.zip,mdb-2675,https://www.transport.act.gov.au/contact-us/information-for-developers,active
AU,Cassowary Coast Regional,TransLink Innisfail,https://gtfsrt.api.translink.com.au/GTFS/INN_GTFS.zip,mdb-673,,active
AU,Caulfield,Transport Victoria,https://opendata.transport.vic.gov.au/dataset/3f4e292e-7f8a-4ffe-831f-1953be0fe448/resource/fb152201-859f-4882-9206-b768060b50ad/download/gtfs.zip#3/google_transit.zip,f-r1r0-ptv,CC-BY-4.0,active
AU,City Of Armadale,Transperth,http://www.transperth.wa.gov.au/TimetablePDFs/GoogleTransit/Production/google_transit.zip,mdb-1086,https://www.transperth.wa.gov.au/About/Spatial-Data-Access,active
AU,City of Burnie,MetroTas Burnie,http://www.metrotas.com.au/wp-content/uploads/transit/Burnie/google_transit.zip,mdb-681,,active
AU,City of Darwin,"Department of Transport, Public Transport",https://dipl.nt.gov.au/data-feeds/bus-gtfs/google-transit-darwin.zip?v=0.16.0,mdb-680,https://dipl.nt.gov.au/data/bus-timetable-data-and-geographic-information,active
AU,City of Glenorchy,MetroTas Hobart,http://www.metrotas.com.au/wp-content/uploads/transit/Hobart/google_transit.zip,mdb-665,,active
AU,City of Hobart,SkyBus Hobart,https://paueasasskybusgtfs.blob.core.windows.net/gtfs-live/TAS/gtfs.zip?sp=rl&st=2026-02-18T06:46:07Z&se=2027-02-28T15:01:07Z&spr=https&sv=2024-11-04&sr=c&sig=x%2FlTHzTlGBw5D1RxF3VDkcGPf5xYjRceeXAoOjzRfnM%3D,mdb-3147,,active
AU,City of Launceston,MetroTas Launceston,http://www.metrotas.com.au/wp-content/uploads/transit/Launceston/google_transit.zip,mdb-682,,active
AU,City of Mitcham,Adelaide Metro,https://gtfs.adelaidemetro.com.au/v1/static/latest/google_transit.zip,mdb-660,,active
AU,City of Port Phillip,SkyBus Melbourne,https://paueasasskybusgtfs.blob.core.windows.net/gtfs-live/VIC/gtfs.zip?sp=rl&st=2026-02-18T06:46:07Z&se=2027-02-28T15:01:07Z&spr=https&sv=2024-11-04&sr=c&sig=x%2FlTHzTlGBw5D1RxF3VDkcGPf5xYjRceeXAoOjzRfnM%3D,mdb-3146,,active
AU,Darwin / Alice Springs (NT),NT Dept of Logistics & Infrastructure — Darwinbus / Public Transport (operated by CDC NT),https://data.nt.gov.au/dataset/?res_format=GTFS,au-disc-56,,active
AU,Enmore,Nswtrainlink~Sydneytrains~Buswayswesternsydney~Interlinebus,https://api.transport.nsw.gov.au/v1/publictransport/timetables/complete/gtfs,f-r6-nswtrainlink~sydneytrains~buswayswesternsydney~interlinebus,CC-BY-4.0,active
AU,Fraser Coast Regional,TransLink Maryborough-Hervey Bay,https://gtfsrt.api.translink.com.au/GTFS/MHB_GTFS.zip,mdb-651,https://www.data.qld.gov.au/dataset/general-transit-feed-specification-gtfs-qconnect/resource/ee40c2d4-f170-426d-9719-3cc3e32c567c,active
AU,Gladstone Regional,Buslink Gladstone,https://gtfsrt.api.translink.com.au/GTFS/GLT_GTFS.zip,mdb-667,,active
AU,Gympie Regional,Polleys Coaches,https://gtfsrt.api.translink.com.au/GTFS/GYM_GTFS.zip,mdb-671,,active
AU,Hobart / Launceston / statewide (TAS),"Tasmanian Dept of State Growth (consolidated statewide bus incl. Metro Tasmania, Kinetic; Derwent Ferries)",https://www.metrotas.com.au/wp-content/uploads/transit/Hobart/google_transit.zip,au-disc-55,,active
AU,Innisfail,qconnect transnorth rt,https://gtfsrt.api.translink.com.au/api/realtime/INN/Alerts,rt-al-f-rhzu-qconnect~transnorth~rt,,active
AU,Innisfail,qconnect transnorth rt,https://gtfsrt.api.translink.com.au/api/realtime/INN/TripUpdates,rt-tr-f-rhzu-qconnect~transnorth~rt,,active
AU,Innisfail,qconnect transnorth rt,https://gtfsrt.api.translink.com.au/api/realtime/INN/VehiclePositions,rt-ve-f-rhzu-qconnect~transnorth~rt,,active
AU,Kingsbury,Transport Victoria,https://opendata.transport.vic.gov.au/dataset/3f4e292e-7f8a-4ffe-831f-1953be0fe448/resource/fb152201-859f-4882-9206-b768060b50ad/download/gtfs.zip#11/google_transit.zip,f-r1r1-ptv~11,CC-BY-4.0,active
AU,Mackay Regional,Mackay Transit Coaches,https://gtfsrt.api.translink.com.au/GTFS/MKY_GTFS.zip,mdb-678,https://www.data.qld.gov.au/dataset/general-transit-feed-specification-gtfs-qconnect/resource/03426b3e-1ea6-4878-bd9b-cfaef7ca2b1d?truncate=30&inner_span=True,active
AU,Melbourne,Public Transport Victoria,http://data.ptv.vic.gov.au/downloads/gtfs.zip#7/google_transit.zip,tld-752,,active
AU,Melbourne,Public Transport Victoria (PTV),https://opendata.transport.vic.gov.au/dataset/3f4e292e-7f8a-4ffe-831f-1953be0fe448/resource/fb152201-859f-4882-9206-b768060b50ad/download/gtfs.zip,mdb-3340,https://creativecommons.org/licenses/by/4.0/,active
AU,Moreton Bay Regional,Translink South East Queensland (Translink SEQ),https://gtfsrt.api.translink.com.au/gtfs/SEQ_SCH_GTFS.zip,mdb-3048,https://www.data.qld.gov.au/dataset/general-transit-feed-specification-gtfs-translink/resource/e43b6b9f-fc2b-4630-a7c9-86dd5483552b,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/bus/trip-updates,rt-tr-f-r1-ptv~buses~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/bus/vehicle-positions,rt-ve-f-r1-ptv~buses~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/metro/service-alerts,rt-al-f-r1-ptv~trains~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/metro/trip-updates,rt-tr-f-r1-ptv~trains~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/metro/vehicle-positions,rt-ve-f-r1-ptv~trains~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/tram/service-alerts,rt-al-f-r1-ptv~3~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/tram/trip-updates,rt-tr-f-r1-ptv~3~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/tram/vehicle-positions,rt-ve-f-r1-ptv~3~rt,,active
AU,Mundulla,Transport Victoria,https://api.opendata.transport.vic.gov.au/opendata/public-transport/gtfs/realtime/v1/vline/trip-updates,rt-tr-f-r1-ptv~rt,,active
